scenario_id,analyst_id,condition,audit_time_seconds
task-7700,analyst-1,B0_unstructured_logs,7.5249
task-7700,analyst-2,B0_unstructured_logs,8.7641
task-7701,analyst-1,B0_unstructured_logs,8.7959
task-7701,analyst-2,B0_unstructured_logs,9.0111
task-7702,analyst-1,B0_unstructured_logs,8.2371
task-7702,analyst-2,B0_unstructured_logs,9.2296
task-7703,analyst-1,B0_unstructured_logs,9.0333
task-7703,analyst-2,B0_unstructured_logs,9.8543
task-7704,analyst-1,B0_unstructured_logs,7.858
task-7704,analyst-2,B0_unstructured_logs,8.3849
task-7705,analyst-1,B0_unstructured_logs,7.286
task-7705,analyst-2,B0_unstructured_logs,7.3783
task-7706,analyst-1,B0_unstructured_logs,5.7873
task-7706,analyst-2,B0_unstructured_logs,9.813
task-7707,analyst-1,B0_unstructured_logs,8.3577
task-7707,analyst-2,B0_unstructured_logs,7.9617
task-7708,analyst-1,B0_unstructured_logs,8.5861
task-7708,analyst-2,B0_unstructured_logs,8.3579
task-7709,analyst-1,B0_unstructured_logs,8.986
task-7709,analyst-2,B0_unstructured_logs,10.2878
task-7710,analyst-1,B0_unstructured_logs,8.2233
task-7710,analyst-2,B0_unstructured_logs,7.3352
task-7711,analyst-1,B0_unstructured_logs,8.1284
task-7711,analyst-2,B0_unstructured_logs,8.1932
task-7712,analyst-1,B0_unstructured_logs,6.941
task-7712,analyst-2,B0_unstructured_logs,8.9981
task-7713,analyst-1,B0_unstructured_logs,10.5948
task-7713,analyst-2,B0_unstructured_logs,7.7958
task-7714,analyst-1,B0_unstructured_logs,7.6196
task-7714,analyst-2,B0_unstructured_logs,8.8936
task-7715,analyst-1,B0_unstructured_logs,6.5287
task-7715,analyst-2,B0_unstructured_logs,8.968
task-7716,analyst-1,B0_unstructured_logs,9.6047
task-7716,analyst-2,B0_unstructured_logs,7.5439
task-7717,analyst-1,B0_unstructured_logs,8.9409
task-7717,analyst-2,B0_unstructured_logs,8.588
task-7718,analyst-1,B0_unstructured_logs,8.4306
task-7718,analyst-2,B0_unstructured_logs,6.608
task-7719,analyst-1,B0_unstructured_logs,10.8083
task-7719,analyst-2,B0_unstructured_logs,7.521
task-7720,analyst-1,B0_unstructured_logs,10.1861
task-7720,analyst-2,B0_unstructured_logs,8.6489
task-7721,analyst-1,B0_unstructured_logs,11.4818
task-7721,analyst-2,B0_unstructured_logs,6.8703
task-7722,analyst-1,B0_unstructured_logs,8.1954
task-7722,analyst-2,B0_unstructured_logs,8.3942
task-7723,analyst-1,B0_unstructured_logs,10.1649
