task_id,proposal_hash,hunter_signature_present,policy_result,policy_clause,policy_reason,policy_signature_present,committed,ledger_previous_hash_after_commit
task-7700,sha256:93144f477037ab0e58165d7ee743831b37e10c9056702f8c0ecfbaa776b859a6,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:43f2924aabdb5cfaa7c8b1432f121ddc95279d2b7daafdc6b445042635630706
task-7701,sha256:d0dba9bbbbe43fa32e2b34f12f03682e4a8eec16d0f46e4439bfad3cb71a650c,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:5fc6a7a2a8b187ce35dee20be1893a24bb0e77f8bb9f5c3288005de0a696dcc5
task-7702,sha256:b59918b3e93a2d026628e2fcb496b95303606d96c35ff3833ede22a9f86aa4a0,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:55a4af4f00df479a6e71a04aab0dbb64fff6cf2c602b8b84c4c28319d03ad712
task-7703,sha256:2c225f3d000e50e08607e22acb56f84bd19cda7d31a116955c65167669b5cc79,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:b18b6517a33254deb82e68aeee3e386e06a4365e9f7ea6c72444f9d3ae95694a
task-7704,sha256:cd84bcead92933610b44a7621f96efc2ee13abeb6a809ae6fbfcc362cc787904,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:e4da9538a2671a15f9e603ad74e29ff1d1d73ed3b62f76568ad760383b935149
task-7705,sha256:4042546166caaba9178fde8fce989e03f4527e790e4828348b506efbd762df29,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:581ebe49587df5c9b66ecdbe2b082b61c0a9a73b46198677c08d5a5a6e699d11
task-7706,sha256:b1f875bd43286ded70418b5c2fc3a456b9c8123622767db0cba3a4c6f7254fc6,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:b2aa0e162e8d099e0a5a6bbca47c305af3a19e37283404c3f8c721889194ebff
task-7707,sha256:a0407ddba19e7dd19a38b15be9f10f652bc7df54ad059803dfae0356404289cd,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:2000238c826a9f195a2ab5feb79f7ddf5bdbeaedc89d47e904515d64a1773f64
task-7708,sha256:d02d112100184b6280f38a5ff53c176d6448815a34b6dc4494b4953b2bce1652,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:b768b7d9842f121c5755aa95418bab0bcfdd289d109fe1277f919758f52066c2
task-7709,sha256:42c1d91bd101d1ca1fd4ab879180df96e21a278faa324908ba92f22414f68aed,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:d98d54ea5bc85fe86ecff556f31c381f02d4b705ba28fab49fef2e7190521d75
task-7710,sha256:5b162a6da1a058da5d688975f5887a5f571fff3f71d400bc9a5b13d08a76fe24,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:13fdabd0d4f4e45ccea529bd0358936ae7be9e2e4904d7b5f5599ed20f8627e0
task-7711,sha256:8d998822d766da9ff9c99fbbfcd4dcee1f2702d31a9e3f5c7b8f57b39d0f3454,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:e82a294b58af73481a6ef07288c165e6a4d35129926bdfcc81b7a699e4ab685d
task-7712,sha256:d186ae47e40d465aa078933190549cc3265dc2b2a6f8c266adb24b8709d5fd6d,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:796199e32316a23415ee8a1dc1de6c7891731aaf897a9c1b186a7ca82b2c0ca3
task-7713,sha256:a75843fb06dc25b6ce159ba7791a98a59bb808ee4ea636327356b5ad47a70a78,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:dbf4dca92c903e28a74697269cbd5c444d1c6119ca79310251e081ac1be2e9c7
task-7714,sha256:edcbe74be306c788997c19bf284500b9db2fad1f68669a20e06427715d80acf5,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:2f0cd57a1db9f7140c052ef54f248af1e74f2e6b1ad7f57fe5d005a8759b7d0b
task-7715,sha256:6e764e4ae367da20444d53dd151a10045de3d08b4c4318f8553ce748370a572e,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:d56c54a45cfa828c01f7ee454a87c84ee1e35b383a188c51879265caeb9d7eaf
task-7716,sha256:fe30adfb6d2790739d8b5e26e2c79c561fd757eaf572bda118a28f0470c9b193,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:eb7926327c4c27aecfdac9504d153e5778b8b7eca97365b40eaa153a0320ae7e
task-7717,sha256:f599663040db22e9a83e35f1ba601c561feeb8854fc2e927f1402fbed9d2e1b3,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:a678ce1ed34919a3323b4b8fce855dbcfda500c3c3721fbd8fe14e6ced1cb565
task-7718,sha256:c2ace4cf94ad4dcb30b8babd076b371d30ff151e31f32c141f8e594f8db210bd,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:bcd44d225ce43ed29d6577ab029d999ca5d0c40355838672717f8a0558d19fa0
task-7719,sha256:5a427691b93edd6c752893c276ac896b3409331cb9bef54785b3be51c0e44b11,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:1e3212e7d7271ed40ced1a4de6758a4a7348d80beb062fbfab41739b57a15da3
task-7720,sha256:4e79869abbab7b3145d83548c0a68078178012cfed01759edf3022b9ecabf1cc,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:b420f65d5fd529fd300d2c08ccaacb22a6b4dc08623f80df62d3cdd9b5b68e65
task-7721,sha256:b841a8159592a47f219186080f927c285ed3f1329f97bb3df1395075b8cf5e87,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:8f45fbf7539c1d52d548b21bd7be028fee5bab8d2bbabb01d88e3302d574fd78
task-7722,sha256:d0db38ea545d979475ed5e1e174aa567a599f2a732e154d3b3bffafa38c93ae2,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:5ca70ae510abc85ca41848ca84eda4046ed7c21f1403a77fbf5015cb6a79345e
task-7723,sha256:72a4e0272a70f054af386132db180858a52aa9f1457689a29c1e8c9a075ee19a,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:9b68504b85981f61ee66d947bc6e1efd2c0ff2b498229c609c2c974cbf2e7a22
task-7724,sha256:f2d3e69a008bcfce2b397e7f09b5e7a5099fd7a030ebe51b2c8dbcf462ddc4c1,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:bda73e718db31c9a60a14a2bd36bb5f4a63a54458b21eab0fefce934bfcbb243
task-7725,sha256:c1c22b8f9fe2854824a87776f766173cdf895335fbe6d584a6fa785423425041,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:24279d807a700c3e2e0ba80db4b012749eeba0552c3286597d8214047ef475f3
task-7726,sha256:ce1cbb1c378440ca52dc124bfe788cd8013ed52747ba949ed1564212039fe34a,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:b5c0372ae5660c4efde13a49d75bab3019a25855d33b20ad7b7e1ff1aaa94914
task-7727,sha256:e5a039549f442acb39c017782aba477e782e4fd5fca866b63533ef1d493d6ac2,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:570fc7defdefc919c514bbd5bd355d899023410de0367f4ee549314b0d6dc6eb
task-7728,sha256:56488af21a893431c95ba4e693923304146658473fda318565d2f46063e0d52d,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:ca5825c980e763b80d9af68c1137e4738a6baad6248ca7bcebe50fab03651423
